Kingdom,Krallık,The United Kingdom consists of four countries.,Birleşik Krallık dört ülkeden oluşur.
Knowledge,Bilgi,Knowledge is the key to solving many problems.,Bilgi birçok sorunu çözmenin anahtarıdır.
Label,Etiket/Etiketlemek,Please read the warning label on the bottle.,Lütfen şişenin üzerindeki uyarı etiketini okuyun.
Labor,Emek/İş gücü,Child labor is illegal in most countries.,Çocuk işçiliği çoğu ülkede yasa dışıdır.
Lack,Eksiklik,The project failed due to a lack of funding.,Proje fon eksikliği nedeniyle başarısız oldu.
Landscape,Manzara (Peyzaj),The artist painted a beautiful mountain landscape.,Sanatçı güzel bir dağ manzarası çizdi.
Launch,Başlatmak/Fırlatmak,The company plans to launch a new product next month.,Şirket gelecek ay yeni bir ürün piyasaya sürmeyi (başlatmayı) planlıyor.
Lawsuit,Dava,He filed a lawsuit against his former employer.,Eski işverenine karşı dava açtı.
Layer,Katman,There is a thick layer of dust on the shelf.,Rafın üzerinde kalın bir toz katmanı var.
Leadership,Liderlik,Strong leadership is essential during a crisis.,Kriz sırasında güçlü liderlik esastır.
League,Lig,Our team is at the top of the football league.,Takımımız futbol liginin tepesinde.
Lean,Yaslanmak/Eğilmek,Don't lean against the glass door.,Cam kapıya yaslanma.
Lease,Kiralamak (Uzun dönem),We signed a lease for the apartment for one year.,Daire için bir yıllık kira sözleşmesi imzaladık.
Legal,Yasal,It is legal to drive at age eighteen here.,Burada on sekiz yaşında araba kullanmak yasaldır.
Legend,Efsane,According to legend a dragon lived in this cave.,Efsaneye göre bu mağarada bir ejderha yaşarmış.
Legislation,Mevzuat/Yasalar,New legislation will protect consumer rights.,Yeni mevzuat tüketici haklarını koruyacak.
Legitimate,Meşru/Yasal,He has a legitimate reason for being late.,Geç kalmak için meşru bir nedeni var.
Leisure,Boş zaman,I spend my leisure time reading books.,Boş zamanımı kitap okuyarak geçiririm.
Liability,Yükümlülük/Sorumluluk,The company accepted liability for the accident.,Şirket kaza için sorumluluğu (yükümlülüğü) kabul etti.
Liberal,Liberal/Özgürlükçü,She has liberal views on social issues.,Sosyal konularda liberal görüşleri var.
Liberty,Özgürlük/Hürriyet,They fought for their liberty and independence.,Özgürlükleri ve bağımsızlıkları için savaştılar.
License,Lisans/Ehliyet,You need a license to practice medicine.,Tıp yapmak için bir lisansa ihtiyacınız var.
Likelihood,Olasılık,There is a high likelihood of rain tomorrow.,Yarın yağmur yağma olasılığı yüksek.
Limb,Uzuv (Kol/Bacak),He lost a limb in the war.,Savaşta bir uzvunu kaybetti.
Limitation,Kısıtlama,We must accept the limitations of our technology.,Teknolojimizin kısıtlamalarını kabul etmeliyiz.
Linear,Doğrusal,The graph shows a linear increase in sales.,Grafik satışlarda doğrusal bir artış gösteriyor.
Linger,Oyalanmak/Gitmemek,The smell of coffee lingered in the room.,Kahve kokusu odada kaldı (gitmedi).
Liquid,Sıvı,Water is a liquid at room temperature.,Su oda sıcaklığında bir sıvıdır.
Literacy,Okuryazarlık,The government aims to improve literacy rates.,Hükümet okuryazarlık oranlarını artırmayı hedefliyor.
Literature,Edebiyat,She is studying English literature at university.,Üniversitede İngiliz edebiyatı okuyor.
Loan,Kredi/Borç,I took out a loan to buy a new car.,Yeni bir araba almak için kredi çektim.
Logic,Mantık,His argument lacks logic and evidence.,Argümanı mantık ve kanıttan yoksun.
Logical,Mantıklı,It is the only logical conclusion to the problem.,Sorunun tek mantıklı sonucu budur.
Loyalty,Sadakat,The company values the loyalty of its employees.,Şirket çalışanlarının sadakatine değer verir.
Luxury,Lüks,They stayed in a luxury hotel by the sea.,Deniz kenarında lüks bir otelde kaldılar.
Machinery,Makineler,The factory uses modern machinery for production.,Fabrika üretim için modern makineler kullanıyor.
Magnitude,Büyüklük/Önem,We did not realize the magnitude of the problem.,Sorunun büyüklüğünü fark etmedik.
Maintain,Sürdürmek/Bakım yapmak,It is difficult to maintain a healthy lifestyle.,Sağlıklı bir yaşam tarzını sürdürmek zordur.
Maintenance,Bakım,Regular maintenance extends the life of your car.,Düzenli bakım arabanızın ömrünü uzatır.
Majority,Çoğunluk,The majority of people voted for the new law.,İnsanların çoğunluğu yeni yasa için oy kullandı.
Mandatory,Zorunlu,Wearing a seatbelt is mandatory in this country.,Bu ülkede emniyet kemeri takmak zorunludur.
Manifest,Göstermek/Belirmek,His anger manifested itself in shouting.,Öfkesi kendini bağırmakla gösterdi.
Manipulate,Manipüle etmek,He tried to manipulate the results of the election.,Seçim sonuçlarını manipüle etmeye çalıştı.
Manufacture,Üretmek (Fabrika),This factory manufactures electronic components.,Bu fabrika elektronik bileşenler üretir.
Margin,Kenar boşluğu/Marj,They won by a narrow margin of votes.,Dar bir oy marjıyla kazandılar.
Marine,Deniz (ile ilgili),Marine life is threatened by pollution.,Deniz yaşamı kirlilik tarafından tehdit ediliyor.
Massive,Devasa/Kitlesel,The explosion caused massive damage to the building.,Patlama binada devasa hasara neden oldu.
Mature,Olgun,She is very mature for her age.,Yaşına göre çok olgun.
Maximize,Maksimuma çıkarmak,We need to maximize our profits this year.,Bu yıl kârımızı maksimuma çıkarmamız gerekiyor.
Mechanism,Mekanizma,The locking mechanism on the door is broken.,Kapıdaki kilit mekanizması bozuk.
Mediation,Arabuluculuk,They resolved their dispute through mediation.,Anlaşmazlıklarını arabuluculuk yoluyla çözdüler.
Medical,Tıbbi,He needs urgent medical attention.,Acil tıbbi müdahaleye ihtiyacı var.
Medication,İlaç tedavisi,She is taking medication for high blood pressure.,Yüksek tansiyon için ilaç alıyor.
Medieval,Ortaçağ,We visited a medieval castle in Scotland.,İskoçya'da bir ortaçağ kalesini ziyaret ettik.
Membership,Üyelik,Gym membership is expensive in this city.,Bu şehirde spor salonu üyeliği pahalıdır.
Mental,Zihinsel,Mental health is as important as physical health.,Akıl sağlığı fiziksel sağlık kadar önemlidir.
Mentor,Akıl hocası,He acted as a mentor to the young employees.,Genç çalışanlara akıl hocalığı yaptı.
Merchant,Tüccar,The wealthy merchant traded spices and silk.,Zengin tüccar baharat ve ipek ticareti yapardı.
Merger,Birleşme (Şirket),The merger of the two banks was announced today.,İki bankanın birleşmesi bugün duyuruldu.
Merit,Liyakat/Değer,Promotions are based on merit not seniority.,Terfiler kıdeme göre değil liyakate dayalıdır.
Methodology,Metodoloji,We need to review our research methodology.,Araştırma metodolojimizi gözden geçirmemiz gerekiyor.
Migration,Göç,Bird migration happens every spring and autumn.,Kuş göçü her bahar ve sonbaharda gerçekleşir.
Military,Askeri,He has served in the military for ten years.,On yıldır askeriyede hizmet veriyor.
Minimal,Minimal/En az,The damage to the car was minimal.,Arabadaki hasar minimaldi.
Minimize,En aza indirmek,We must minimize the risk of infection.,Enfeksiyon riskini en aza indirmeliyiz.
Ministry,Bakanlık,The Ministry of Health issued a warning.,Sağlık Bakanlığı bir uyarı yayınladı.
Minority,Azınlık,Only a small minority of people opposed the plan.,İnsanların sadece küçük bir azınlığı plana karşı çıktı.
Miracle,Mucize,It is a miracle that no one was hurt.,Kimsenin yaralanmaması bir mucize.
Missile,Füze,The army tested a new long-range missile.,Ordu yeni bir uzun menzilli füzeyi test etti.
Mission,Görev/Misyon,Our mission is to provide clean water to everyone.,Misyonumuz herkese temiz su sağlamaktır.
Mobility,Hareketlilik,Electric scooters improve urban mobility.,Elektrikli scooterlar kentsel hareketliliği artırır.
Moderate,Ilımlı/Orta,He holds moderate views on politics.,Siyasette ılımlı görüşlere sahip.
Modification,Değişiklik/Modifikasyon,The plan requires some slight modification.,Planın bazı hafif değişikliklere ihtiyacı var.
Molecular,Moleküler,She is studying molecular biology.,Moleküler biyoloji okuyor.
Monitor,İzlemek/Gözlemlemek,Doctors continued to monitor his condition closely.,Doktorlar durumunu yakından izlemeye devam etti.
Moral,Ahlaki,It is a moral obligation to help the poor.,Fakirlere yardım etmek ahlaki bir yükümlülüktür.
Mortality,Ölümlülük/Ölüm oranı,Infant mortality rates have decreased significantly.,Bebek ölüm oranları önemli ölçüde azaldı.
Mortgage,Konut kredisi (İpotek),We finally paid off our mortgage after twenty years.,Yirmi yıl sonra sonunda konut kredimizi ödedik.
Motion,Hareket/Önerge,The slow motion replay showed the foul clearly.,Ağır çekim tekrar faulü net bir şekilde gösterdi.
Motivate,Motive etmek,Good teachers know how to motivate their students.,İyi öğretmenler öğrencilerini nasıl motive edeceklerini bilirler.
Motive,Güdü/Sebep,Police are trying to establish a motive for the crime.,Polis suç için bir güdü (sebep) belirlemeye çalışıyor.
Municipal,Belediye/Kentsel,The municipal council approved the new park.,Belediye meclisi yeni parkı onayladı.
Mutual,Karşılıklı/Ortak,Respect is essential for mutual understanding.,Saygı karşılıklı anlayış için esastır.
Mystery,Gizem,The disappearance of the ship remains a mystery.,Geminin kayboluşu bir gizem olmaya devam ediyor.
Myth,Mit/Efsane,It is a common myth that bats are blind.,Yarasaların kör olduğu yaygın bir mittir.
English,Turkish,EnSample,TrSample
Narrative,Hikaye/Anlatı,The movie had a compelling narrative that kept us interested.,Filmin ilgimizi canlı tutan sürükleyici bir anlatısı vardı.
Necessity,Gereklilik,Food and water are necessities for survival.,Yiyecek ve su hayatta kalmak için gerekliliktir.
Negligence,İhmal,The accident was caused by the driver's negligence.,Kaza sürücünün ihmali yüzünden meydana geldi.
Negotiate,Müzakere etmek,They are trying to negotiate a peace treaty.,Bir barış antlaşması müzakere etmeye çalışıyorlar.
Neutral,Tarafsız/Nötr,She remained neutral during the argument.,Tartışma sırasında tarafsız kaldı.
Nonetheless,Yine de/Buna rağmen,It was raining but we went for a walk nonetheless.,Yağmur yağıyordu ama yine de yürüyüşe çıktık.
Notorious,Kötü şöhretli,The city is notorious for its traffic jams.,Şehir trafik sıkışıklıklarıyla kötü şöhretlidir.
Novelty,Yenilik,The novelty of the new toy soon wore off.,Yeni oyuncağın yeniliği (cazibesi) kısa sürede geçti.
Nuance,Nüans/İnce fark,He understood every nuance of the complex situation.,Karmaşık durumun her nüansını anladı.
Obedient,İtaatkar,The dog was very obedient to its master.,Köpek sahibine karşı çok itaatkardı.
Objection,İtiraz,I have no objection to your proposal.,Teklifinize bir itirazım yok.
Obligation,Yükümlülük/Zorunluluk,You have a legal obligation to report the accident.,Kazayı bildirmek için yasal bir yükümlülüğünüz var.
Obscure,Belirsiz/Anlaşılmaz,His reasons for leaving remain obscure.,Ayrılma nedenleri belirsizliğini koruyor.
Obsession,Takıntı,His obsession with cleanliness is becoming a problem.,Temizlik takıntısı bir sorun haline geliyor.
Obstacle,Engel,Fear is the biggest obstacle to success.,Korku başarının önündeki en büyük engeldir.
Occupant,Oturan/Sakin,The occupants of the car were unhurt.,Arabadakiler (oturanlar) yara almadan kurtuldu.
Occurrence,Olay/Meydana gelme,Lightning is a natural occurrence during storms.,Şimşek fırtınalar sırasında doğal bir olaydır.
Offender,Suçlu,The young offender was given a second chance.,Genç suçluya ikinci bir şans verildi.
Offensive,Saldırgan/Kırıcı,His comments were deeply offensive to many people.,Yorumları birçok insan için son derece kırıcıydı.
Ongoing,Devam eden,There is an ongoing investigation into the matter.,Konuyla ilgili devam eden bir soruşturma var.
Operational,İşlevsel/Çalışır,The new airport is now fully operational.,Yeni havaalanı artık tamamen işlevsel (çalışır durumda).
Opponent,Rakip,He respects his opponent despite their differences.,Farklılıklarına rağmen rakibine saygı duyuyor.
Opt,Seçmek/Tercih etmek,Students can opt for French or Spanish classes.,Öğrenciler Fransızca veya İspanyolca derslerini seçebilirler.
Optical,Optik/Görsel,The magician created an optical illusion.,Sihirbaz bir optik illüzyon yarattı.
Optimism,İyimserlik,Her optimism helped her through difficult times.,İyimserliği zor zamanlarda ona yardımcı oldu.
Oral,Sözlü,We have an oral exam next week.,Gelecek hafta sözlü sınavımız var.
Ordeal,Çile/Zor sınav,The hostages survived a terrible ordeal.,Rehineler korkunç bir çileden sağ kurtuldular.
Organic,Organik,We only buy organic vegetables from the market.,Marketten sadece organik sebzeler alıyoruz.
Orientation,Oryantasyon/Yönelim,The orientation program helps new students adapt.,Oryantasyon programı yeni öğrencilerin uyum sağlamasına yardımcı olur.
Outcome,Sonuç/Netice,We are waiting for the outcome of the election.,Seçimin sonucunu bekliyoruz.
Outbreak,Salgın/Patlak verme,The outbreak of the disease caused panic.,Hastalığın salgını paniğe neden oldu.
Outlet,Çıkış/Priz/Mağaza,Writing is a creative outlet for her emotions.,Yazmak duyguları için yaratıcı bir çıkış yoludur.
Outlook,Görünüm/Bakış açısı,The economic outlook for next year is positive.,Gelecek yıl için ekonomik görünüm olumlu.
Output,Çıktı/Üretim,The factory increased its output by twenty percent.,Fabrika üretimini yüzde yirmi artırdı.
Outrage,Öfke/Rezalet,The scandal caused public outrage.,Skandal kamuoyunda öfkeye neden oldu.
Outstanding,Seçkin/Olağanüstü,She received an award for her outstanding performance.,Olağanüstü performansı için bir ödül aldı.
Overall,Genel/Tüm,The overall cost of the project was high.,Projenin genel maliyeti yüksekti.
Overcome,Üstesinden gelmek,She managed to overcome her fear of flying.,Uçuş korkusunun üstesinden gelmeyi başardı.
Overlook,Gözden kaçırmak/Bakmak,My room overlooks the ocean.,Odam okyanusa bakıyor.
Overtake,Sollamak/Geçmek,Do not overtake on a sharp bend.,Keskin bir virajda solama yapmayın.
Overwhelm,Bunaltmak/Ezmek,I was overwhelmed by the amount of work.,İş miktarı beni bunalttı.
